year,count_date,fish_count
2014,1-Jul,10392
2014,2-Jul,9240
2014,3-Jul,10794
2014,4-Jul,9288
2014,5-Jul,11574
2014,6-Jul,29490
2014,7-Jul,29052
2014,8-Jul,16872
2014,9-Jul,24201
2014,10-Jul,20312
2014,11-Jul,12606
2014,12-Jul,23779
2014,13-Jul,31889
2014,14-Jul,23118
2014,15-Jul,23863
2014,16-Jul,20934
2014,17-Jul,33144
2014,18-Jul,39024
2014,19-Jul,16608
2014,20-Jul,34104
2014,21-Jul,63954
2014,22-Jul,44241
2014,23-Jul,37492
2014,24-Jul,37812
2014,25-Jul,29844
2014,26-Jul,32013
2014,27-Jul,22073
2014,28-Jul,31590
2014,29-Jul,38565
2014,30-Jul,58024
2014,31-Jul,66786
2014,1-Aug,35535
2014,2-Aug,33971
2014,3-Aug,50791
2014,4-Aug,54803
2014,5-Aug,112175
2014,6-Aug,63682
2014,7-Aug,58124
2014,8-Aug,55101
2014,9-Aug,53381
2014,10-Aug,58086
2014,11-Aug,30430
2014,12-Aug,15417
2014,13-Aug,4484
2014,14-Aug,6048
2013,1-Jul,7530
2013,2-Jul,4380
2013,3-Jul,4164
2013,4-Jul,10655
2013,5-Jul,11454
2013,6-Jul,4915
2013,7-Jul,3508
2013,8-Jul,3514
2013,9-Jul,6814
2013,10-Jul,18270
2013,11-Jul,33702
2013,12-Jul,10086
2013,13-Jul,9090
2013,14-Jul,24520
2013,15-Jul,93151
2013,16-Jul,247084
2013,17-Jul,215636
2013,18-Jul,117785
2013,19-Jul,92771
2013,20-Jul,81281
2013,21-Jul,38302
2013,22-Jul,24900
2013,23-Jul,29796
2013,24-Jul,17993
2013,25-Jul,13542
2013,26-Jul,21954
2013,27-Jul,29100
2013,28-Jul,28039
2013,29-Jul,28766
2013,30-Jul,23908
2013,31-Jul,18140
2013,1-Aug,22992
2013,2-Aug,16922
2013,3-Aug,11583
2013,4-Aug,8437
2013,5-Aug,9392
2013,6-Aug,7368
2013,7-Aug,7337
